DATAFLOW,CEN23_YEAR_001,CEN23_GEO_002,CEN23_REA_003,CEN23_ETH_003,CEN23_GEN_002,OBS_VALUE,OBS_STATUS
STATSNZ:CEN23_ECI_017(1.0),2018,7601,17,5,1,0.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7602,19,4,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7603,19,6,1,3.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7603,21,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7603,2,1,2,15.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7607,11,5,2,3.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7614,21,1,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7608,23,3,2,,c
STATSNZ:CEN23_ECI_017(1.0),2018,7616,9,6,2,15.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7615,8,6,2,3.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7605,19,2,1,0.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7603,10,1,1,321.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7612,3,4,1,75.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7616,12,5,2,24.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7608,14,1,1,,c
STATSNZ:CEN23_ECI_017(1.0),2018,7606,14,4,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7603,8,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7606,8,1,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7611,11,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7601,12,6,2,3.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7620,4,3,1,9.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7618,10,6,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7617,17,5,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7617,18,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7620,3,4,2,21.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7601,16,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7616,17,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7605,18,6,1,15.0,
