DATAFLOW,CEN23_YEAR_001,CEN23_GEO_002,CEN23_REA_003,CEN23_ETH_003,CEN23_GEN_002,OBS_VALUE,OBS_STATUS
STATSNZ:CEN23_ECI_017(1.0),2013,7611,999,4,1,11865.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7614,999,2,2,1863.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7614,999,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7606,999,6,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7618,999,5,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7604,999,5,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7620,999,2,1,5601.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7609,999,6,1,72.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7618,999,2,1,4974.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7601,999,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7616,999,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7601,999,6,2,453.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7619,999,4,2,7710.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7614,999,4,1,6300.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7611,999,3,1,6009.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7616,999,5,2,1365.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7601,999,5,2,114.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7603,999,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7602,999,4,1,3204.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7602,999,1,2,39531.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7609,999,4,2,153.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7619,999,3,2,12948.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7606,999,1,2,29295.0,
