DATAFLOW,CEN23_YEAR_001,CEN23_GEO_008,CEN23_ETH_004,CEN23_AGE_003,CEN23_GEN_002,OBS_VALUE,OBS_STATUS
STATSNZ:CEN23_ECI_018(1.0),2013,7609,5,2,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7614,2,17,2,12.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7612,4,8,2,1032.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7605,6,6,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7619,3,7,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7620,4,12,1,117.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7620,5,15,1,3.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7613,6,11,2,21.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7616,2,12,2,138.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7616,3,15,1,27.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7617,2,9,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7602,4,6,1,252.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7601,2,5,2,153.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7615,3,14,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7615,3,13,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7613,5,15,2,9.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7601,6,5,1,15.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7610,2,13,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7615,6,6,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7602,2,4,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7605,5,8,2,54.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7609,6,7,1,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7617,6,18,2,3.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7617,5,19,2,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7601,1,8,2,1404.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7604,1,18,1,222.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7606,6,6,1,42.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7618,6,11,2,9.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7605,3,1,2,66.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7608,3,18,1,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7605,6,11,1,42.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7616,4,18,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7603,1,18,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7607,4,18,1,3.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7616,1,6,1,1518.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7605,5,11,2,30.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7620,5,19,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7610,2,17,1,3.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7618,3,10,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7614,3,7,2,87.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7619,6,13,2,12.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7614,3,14,2,30.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7614,5,19,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7609,4,18,2,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7606,2,5,1,618.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7618,3,5,2,1506.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7614,4,17,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7617,5,15,2,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7608,2,1,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7614,3,2,1,120.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7621,3,2,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7612,1,10,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7603,2,10,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7612,2,6,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7619,1,2,2,1089.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7612,4,5,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7621,3,7,2,69.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7615,3,9,1,411.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7607,4,8,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7615,6,12,1,18.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7602,1,18,2,753.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7618,3,10,2,906.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7618,2,13,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7618,3,7,1,837.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7601,4,15,1,15.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7602,2,19,1,6.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7605,1,9,1,1356.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7610,5,13,1,12.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7607,6,11,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7615,4,13,2,309.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7612,2,1,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7618,5,19,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7614,4,12,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7609,2,11,2,33.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7617,3,17,1,87.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7601,6,11,2,45.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7610,2,3,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7601,2,3,2,258.0,
